序号	系列值	频率
1	2750	0.045454545
2	2390	0.090909091
3	1860	0.136363636
4	1740	0.181818182
5	1540	0.227272727
6	1520	0.272727273
7	1270	0.318181818
8	1260	0.363636364
9	1210	0.409090909
10	1200	0.454545455
11	1140	0.5
12	1090	0.545454545
13	1050	0.590909091
14	1050	0.636363636
15	980	0.681818182
16	883	0.727272727
17	794	0.772727273
18	790	0.818181818
19	762	0.863636364
20	483	0.909090909
21	408	0.954545455
