序号,系列值,频率
1,2750,0.05 
2,2390,0.09 
3,1860,0.14 
4,1740,0.18 
5,1540,0.23 
6,1520,0.27 
7,1270,0.32 
8,1260,0.36 
9,1210,0.41 
10,1200,0.45 
11,1140,0.50 
12,1090,0.55 
13,1050,0.59 
14,1050,0.64 
15,980,0.68 
16,883,0.73 
17,794,0.77 
18,790,0.82 
19,762,0.86 
20,483,0.91 
21,408,0.95 
